 Size: 5; Insert: 500; QuickSort: 600
 Size: 6; Insert: 700; QuickSort: 1100
 Size: 7; Insert: 900; QuickSort: 1200
 Size: 8; Insert: 1100; QuickSort: 1200
 Size: 9; Insert: 1300; QuickSort: 1500
 Size: 10; Insert: 1600; QuickSort: 1700
 Size: 11; Insert: 1900; QuickSort: 1900
 Size: 12; Insert: 2100; QuickSort: 2100
 Size: 13; Insert: 2500; QuickSort: 2300
 Size: 14; Insert: 2800; QuickSort: 2900
 Size: 15; Insert: 3300; QuickSort: 3000
 Size: 16; Insert: 3700; QuickSort: 3300
 Size: 17; Insert: 4100; QuickSort: 3500
 Size: 18; Insert: 4600; QuickSort: 3600
 Size: 19; Insert: 5200; QuickSort: 3900
 Size: 20; Insert: 5600; QuickSort: 4200
 Size: 21; Insert: 6200; QuickSort: 4500
 Size: 22; Insert: 6700; QuickSort: 5200
 Size: 23; Insert: 7300; QuickSort: 4900
 Size: 24; Insert: 8100; QuickSort: 5400
 Size: 25; Insert: 8800; QuickSort: 5600
 Size: 26; Insert: 9100; QuickSort: 5500
 Size: 27; Insert: 9900; QuickSort: 6300
 Size: 28; Insert: 10700; QuickSort: 6600
 Size: 29; Insert: 11500; QuickSort: 7000
 Size: 30; Insert: 12100; QuickSort: 6600
 Size: 31; Insert: 13000; QuickSort: 6800
 Size: 32; Insert: 13800; QuickSort: 7500
 Size: 33; Insert: 14500; QuickSort: 6900
 Size: 34; Insert: 15600; QuickSort: 8200
 Size: 35; Insert: 16100; QuickSort: 8400
 Size: 36; Insert: 17600; QuickSort: 8000
 Size: 37; Insert: 18300; QuickSort: 8800
 Size: 38; Insert: 19400; QuickSort: 9700
 Size: 39; Insert: 20300; QuickSort: 8900
 Size: 40; Insert: 21600; QuickSort: 9200
 Size: 41; Insert: 22600; QuickSort: 10100
 Size: 42; Insert: 23400; QuickSort: 10100
 Size: 43; Insert: 24200; QuickSort: 10400
 Size: 44; Insert: 26100; QuickSort: 11300
 Size: 45; Insert: 26400; QuickSort: 10800
 Size: 46; Insert: 28100; QuickSort: 11300
 Size: 47; Insert: 28900; QuickSort: 11300
 Size: 48; Insert: 30500; QuickSort: 12200
 Size: 49; Insert: 31000; QuickSort: 12300
 Size: 50; Insert: 32300; QuickSort: 12500
 Size: 51; Insert: 34400; QuickSort: 12500
 Size: 52; Insert: 35300; QuickSort: 12500
 Size: 53; Insert: 37600; QuickSort: 13800
 Size: 54; Insert: 38500; QuickSort: 13600
 Size: 55; Insert: 39300; QuickSort: 14600
 Size: 56; Insert: 41400; QuickSort: 14300
 Size: 57; Insert: 43300; QuickSort: 15200
 Size: 58; Insert: 43600; QuickSort: 14800
 Size: 59; Insert: 45800; QuickSort: 15200
 Size: 60; Insert: 47000; QuickSort: 15600
 Size: 61; Insert: 48800; QuickSort: 15800
 Size: 62; Insert: 49900; QuickSort: 16100
 Size: 63; Insert: 51600; QuickSort: 16200
 Size: 64; Insert: 53700; QuickSort: 16600
 Size: 65; Insert: 55600; QuickSort: 16700
 Size: 66; Insert: 67200; QuickSort: 21700
 Size: 67; Insert: 57900; QuickSort: 17000
 Size: 68; Insert: 60500; QuickSort: 18000
 Size: 69; Insert: 61900; QuickSort: 17800
 Size: 70; Insert: 63900; QuickSort: 18600
 Size: 71; Insert: 64400; QuickSort: 18900
 Size: 72; Insert: 67600; QuickSort: 19500
 Size: 73; Insert: 68400; QuickSort: 20100
 Size: 74; Insert: 70400; QuickSort: 20000
 Size: 75; Insert: 73700; QuickSort: 20400
 Size: 76; Insert: 87400; QuickSort: 34700
 Size: 77; Insert: 78400; QuickSort: 20300
 Size: 78; Insert: 79200; QuickSort: 21200
 Size: 79; Insert: 80100; QuickSort: 21400
 Size: 80; Insert: 83800; QuickSort: 21300
 Size: 81; Insert: 85600; QuickSort: 22400
 Size: 82; Insert: 86200; QuickSort: 21600
 Size: 83; Insert: 90100; QuickSort: 22800
 Size: 84; Insert: 92900; QuickSort: 23400
 Size: 85; Insert: 92900; QuickSort: 23600
 Size: 86; Insert: 93700; QuickSort: 23700
 Size: 87; Insert: 96400; QuickSort: 24100
 Size: 88; Insert: 101900; QuickSort: 23300
 Size: 89; Insert: 101600; QuickSort: 24200
 Size: 90; Insert: 103900; QuickSort: 25400
 Size: 91; Insert: 105600; QuickSort: 25900
 Size: 92; Insert: 108700; QuickSort: 25600
 Size: 93; Insert: 145400; QuickSort: 25700
 Size: 94; Insert: 116300; QuickSort: 26500
 Size: 95; Insert: 116200; QuickSort: 26500
 Size: 96; Insert: 120300; QuickSort: 27500
 Size: 97; Insert: 120000; QuickSort: 27400
 Size: 98; Insert: 123100; QuickSort: 26900
 Size: 99; Insert: 126700; QuickSort: 27800
 Size: 100; Insert: 129500; QuickSort: 28300
